time_s,power_W
473.475692429305,32949.4525315891
473.575692429305,32949.4525315891
473.675692429305,32949.4525315891
473.775692429305,32949.4525315891
473.875692429305,32949.4525315891
473.975692429305,32949.4525315891
474,32949.4525315891
474.024307570695,32949.4525315891
474.04861514139,32949.4525315891
474.072922712084,32949.4525315891
474.172922712084,32949.4525315891
474.272922712084,32949.4525315891
474.372922712085,32949.4525315891
474.472922712085,32949.4525315891
474.572922712085,32949.4525315891
474.672922712085,32949.4525315891
474.772922712085,32949.4525315891
474.872922712085,32949.4525315891
474.972922712085,32949.4525315891
475,32949.4525315891
475.027077287915,32949.4525315891
475.054154575831,32949.4525315891
475.081231863746,32949.4525315891
475.181231863746,32949.4525315891
475.281231863746,32949.4525315891
475.381231863746,32949.4525315891
475.481231863746,32949.4525315891
475.581231863746,32949.4525315891
475.681231863746,32949.4525315891
475.781231863746,32949.4525315891
475.881231863746,32949.4525315891
475.981231863746,32949.4525315891
476,32949.4525315891
476.018768136254,32949.4525315891
476.037536272508,32949.4525315891
476.056304408761,32949.4525315891
476.156304408761,32949.4525315891
476.256304408761,32949.4525315891
476.356304408761,32949.4525315891
476.456304408761,32949.4525315891
476.556304408761,32949.4525315891
476.656304408761,32949.4525315891
476.756304408761,32949.4525315891
476.856304408761,32949.4525315891
476.956304408761,32949.4525315891
477,32949.4525315891
477.043695591239,32949.4525315891
477.087391182477,32949.4525315891
477.131086773716,32949.4525315891
477.231086773716,32949.4525315891
477.331086773716,32949.4525315891
477.431086773716,32949.4525315891
477.531086773716,32949.4525315891
477.631086773716,32949.4525315891
477.731086773716,32949.4525315891
477.831086773716,32949.4525315891
477.931086773716,32949.4525315891
478,32949.4525315891
478.068913226284,32949.4525315891
478.137826452568,32949.4525315891
478.206739678853,32949.4525315891
478.306739678853,32949.4525315891
478.406739678853,32949.4525315891
478.506739678853,32949.4525315891
478.606739678853,32949.4525315891
478.706739678853,32949.4525315891
478.806739678853,32949.4525315891
478.906739678853,32949.4525315891
479,32949.4525315891
479.093260321147,32949.4525315891
479.186520642294,32949.4525315891
479.279780963442,32949.4525315891
479.379780963442,32949.4525315891
479.479780963442,32949.4525315891
479.579780963442,32949.4525315891
479.679780963442,32949.4525315891
479.779780963442,32949.4525315891
479.879780963442,32949.4525315891
479.979780963442,32949.4525315891
480,32949.4525315891
480.000127377586,-216732.631098013
480.000254755172,-216729.894056217
480.000382132758,-216727.157010382
480.000509510344,-216724.419969911
480.000723619085,-216719.819275406
480.000937727825,-216715.218579445
480.001151836566,-216710.617880927
480.001365945307,-216706.017179853
480.001641379391,-216700.098734995
480.001724009617,-216698.323200344
480.001806639842,-216696.547670627
480.001889270068,-216694.772130866
480.001971900293,-216692.996595556
480.002116252887,-216689.894787839
480.00226060548,-216686.792977367
480.002404958074,-216683.691162968
480.002549310667,-216680.589352938
480.002898786265,-216673.079902032
480.003248261864,-216665.570446407
480.003597737462,-216658.060981689
480.00394721306,-216650.551511303
480.004296688658,-216643.042034107
480.00498581116,-216628.234257378
480.005674933662,-216613.426454592
480.006364056165,-216598.618624175
480.007053178667,-216583.810767865
480.007742301169,-216569.002885087
480.009305263698,-216535.417806471
480.010868226227,-216501.832591578
480.012431188757,-216468.247240579
480.013994151286,-216434.661753239
480.015557113815,-216401.076130347
480.018720728677,-216333.094572673
480.021884343538,-216265.112457847
480.0250479584,-216197.129786004
480.028211573261,-216129.14655732
480.031375188123,-216061.162771971
480.036610352455,-215948.661671008
480.041845516788,-215836.159046846
480.04708068112,-215723.654900486
480.052315845452,-215611.149232729
480.057551009785,-215498.642044148
480.066704117245,-215301.931982031
480.075857224705,-215105.217278125
480.085010332165,-214908.497936768
480.094163439626,-214711.773962108
480.103316547086,-214515.045358552
480.139255920289,-213742.552325766
480.175195293493,-212969.988252816
480.211134666696,-212197.353398629
480.247074039899,-211424.648022126
480.347074039899,-209274.254453602
480.447074039899,-207123.322476228
480.547074039899,-204971.857667665
480.6470740399,-202819.865605604
480.7470740399,-200667.351867708
480.8470740399,-198514.322031653
480.9470740399,-196360.781675125
481,-195220.795066968
481.000496246896,-139036.016544789
481.000992493792,-139030.322666315
481.001488740688,-139024.628780888
481.001984987584,-139018.934888508
481.003370103306,-139003.042158006
481.004755219029,-138987.149373741
481.006140334751,-138971.256535063
481.008859548569,-138940.056077135
481.011578762387,-138908.855410687
481.014297976205,-138877.654535652
481.017017190023,-138846.453452078
481.022690980629,-138781.349987619
481.028364771236,-138716.24561574
481.034038561843,-138651.14033707
481.039712352449,-138586.034151976
481.045386143056,-138520.927060889
481.054649904367,-138414.622892307
481.063913665679,-138308.316311513
481.07317742699,-138202.007320365
481.082441188302,-138095.695920852
481.091704949613,-137989.382114727
481.121022781185,-137652.905721957
481.150340612756,-137316.405303317
481.179658444327,-136979.880918046
481.208976275898,-136643.332625488
481.308976275898,-135495.223215749
481.408976275898,-134346.838706673
481.508976275898,-133198.181451336
481.608976275898,-132049.253802825
481.708976275898,-130900.058114209
481.808976275898,-129750.596738582
481.908976275898,-128600.87202902
482,-127554.122827534
482.000416867347,-179042.622471973
482.000833734694,-179033.627845464
482.00125060204,-179024.63321096
482.001667469387,-179015.63856846
482.002941850763,-178988.141510734
482.004216232139,-178960.644378177
482.005490613514,-178933.147170927
482.007912543314,-178880.889213288
482.010334473113,-178828.630986001
482.012756402912,-178776.372489134
482.015178332712,-178724.113722768
482.019367123875,-178633.730178703
482.023555915037,-178543.345829111
482.0277447062,-178452.960674353
482.031933497363,-178362.574715075
482.038317248866,-178224.824237565
482.04470100037,-178087.071893532
